description,category
Swiggy,Food
ATM withdrawal,Other
Cab - Bus ticket,Transport
society maintenance for the month,Bills
Dinner - Domino's Pizza,Food
Weekend concert tickets,Entertainment
auto fare to the station,Transport
lunch at bakery,Food
ordered food via street food stall,Food
Lunch at Ice cream shop,Food
bought groceries for the week,Food
Electricity board,Bills
Stationery shop payment,Other
Paid for biryani at new restaurant,Food
Tickets via BookMyShow,Entertainment
society maintenance for the month,Bills
IndianOil petrol pump recharge,Transport
Flipkart shopping,Shopping
New headphones from an online store,Shopping
Ordered food via Cafe Coffee Day,Food
IndianOil petrol pump fare,Transport
video game purchase on sale,Entertainment
Gaming - Steam purchase,Entertainment
Shoes from H&M,Shopping
Netflix subscription payment,Bills
Flipkart shopping,Shopping
KFC ORDER,Food
STATIONERY SHOP EXPENSE,Other
night out - club entry,Entertainment
MONTHLY SPOTIFY SUBSCRIPTION,Bills
Fuel - Toll plaza,Transport
Paid for Miscellaneous,Other
auto fare to the station,Transport
Water bill due,Bills
AMUSEMENT PARK,Entertainment
Tickets via PVR Cinemas,Entertainment
COFFEE AT ICE CREAM SHOP,Food
society maintenance for the month,Bills
new phone case online,Shopping
Travel - Toll plaza,Transport
Dinner - Pizza Hut,Food
Metro card recharge,Transport
Nike store purchase,Shopping
amusement park entry tickets,Entertainment
NIGHT OUT - CLUB ENTRY,Entertainment
Tickets via Gaming - Steam,Entertainment
CAB - OLA,Transport
insurance premium bill paid,Bills
Netflix subscription bill paid,Bills
Paid for Medical store,Other
Gas cylinder booking due,Bills
Zara,Shopping
Gas cylinder booking payment,Bills
paid toll on highway,Transport
Bus ticket booking,Transport
FUEL - TOLL PLAZA,Transport
bought groceries for the week,Food
Bought clothes - Myntra,Shopping
car service and oil change,Transport
Airtel postpaid auto-debit,Bills
Breakfast Local restaurant,Food
Online order - Amazon,Shopping
stand-up comedy show tickets,Entertainment
festive season shopping spree,Shopping
Travel - Parking fee,Transport
Travel - Bus ticket,Transport
tickets via bookmyshow,Entertainment
Electricity board,Bills
Bought clothes - Nike store,Shopping
festive season shopping spree,Shopping
Movie - Concert tickets,Entertainment
annual insurance premium payment,Bills
Miscellaneous payment,Other
Purchase from Zara,Shopping
Bought groceries for the week,Food
Donation,Other
H&M purchase,Shopping
House rent due,Bills
Snacks - Zomato,Food
playstation store,Entertainment
ELECTRICITY BOARD,Bills
Shell petrol pump booking,Transport
Monthly Water bill,Bills
Street food stall delivery,Food
paid for gift to friend,Other
Paid for Medical store,Other
Online order - H&M,Shopping
Spotify subscription payment,Bills
Travel - Parking fee,Transport
electricity board late payment,Bills
Local mall purchase order,Shopping
Insurance premium bill paid,Bills
Sent money - Miscellaneous,Other
Sent money - Haircut - salon,Other
Pharmacy,Other
Shoes from Amazon,Shopping
McDonald's,Food
BluSmart trip,Transport
Tickets via Amusement park,Entertainment
karaoke night with friends,Entertainment
Monthly Electricity board,Bills
furniture shop,Shopping
Netflix subscription auto-debit,Bills
Electronics store,Shopping
school fees for sibling,Other
Auto rickshaw booking,Transport
Amusement park tickets,Entertainment
travel - ola,Transport
amusement park entry tickets,Entertainment
blusmart recharge,Transport
medicine from the pharmacy,Other
Paid for Cash withdrawal,Other
ATM withdrawal,Other
Paid Insurance premium,Bills
Sent money - Donation,Other
Electricity board payment,Bills
ATM withdrawal payment,Other
sent money to a friend,Other
Domino's Pizza order,Food
haircut at the salon,Other
Purchase from Reliance Trends,Shopping
flight ticket booking for work trip,Transport
Auto rickshaw,Transport
bought a laptop bag,Shopping
Bank transfer payment,Other
lunch at domino's pizza,Food
Metro card recharge recharge,Transport
Gift to friend,Other
new phone case online,Shopping
vegetables from the local market,Food
annual insurance premium payment,Bills
Video game purchase on sale,Entertainment
MYNTRA PURCHASE,Shopping
Breakfast Domino's Pizza,Food
Sent money - Haircut - salon,Other
Monthly parking pass renewal,Transport
streaming service auto-renewal,Bills
Medical store,Other
paid gas cylinder booking,Bills
Fuel - Bus ticket,Transport
Fuel - Auto rickshaw,Transport
snacks - mcdonald's,Food
Night out - Club entry,Entertainment
Amazon,Shopping
Night out - INOX,Entertainment
recharged fastag for toll,Transport
school fees for sibling,Other
AUTO RICKSHAW,Transport
Paid Maintenance fee,Bills
COFFEE AT SUBWAY,Food
Coffee at Swiggy,Food
Club entry booking,Entertainment
Online order - Ajio,Shopping
jio recharge auto-debit,Bills
new phone case online,Shopping
Snacks - Starbucks,Food
Snacks - Domino's Pizza,Food
Furniture shop shopping,Shopping
ELECTRONICS STORE ORDER,Shopping
Coffee at Street food stall,Food
FLIPKART SHOPPING,Shopping
PVR Cinemas,Entertainment
Tickets via Concert tickets,Entertainment
Furniture shop,Shopping
Monthly Jio recharge,Bills
Insurance premium due,Bills
Breakfast Domino's Pizza,Food
Coffee at McDonald's,Food
arcade night out,Entertainment
Water bill,Bills
Shoes from Local mall purchase,Shopping
H&M,Shopping
Pizza Hut order,Food
new headphones from an online store,Shopping
monthly gym membership fee,Bills
lost and had to pay a late fine,Other
monthly gym membership fee,Bills
SENT MONEY - CASH WITHDRAWAL,Other
Ordered food via Street food stall,Food
snacks - pizza hut,Food
McDonald's payment,Food
Ajio order,Shopping
BluSmart trip,Transport
Movie - Bowling alley,Entertainment
Purchase from Reliance Trends,Shopping
Society maintenance for the month,Bills
Breakfast Biryani place,Food
monthly parking pass renewal,Transport
Shoes from Local mall purchase,Shopping
BREAKFAST BIRYANI PLACE,Food
Breakfast Pizza Hut,Food
bought clothes - myntra,Shopping
mobile recharge for the month,Bills
Donation,Other
Shoes from Ajio,Shopping
lunch at biryani place,Food
TICKETS VIA BOOKMYSHOW,Entertainment
Electronics store shopping,Shopping
